id,drug_name,generic_name,drug_class,indication,status_after_sleeve,reason,dose_adjustment_notes,administration_form,interactions,evidence_level,source_links,last_reviewed,notes
1,Ibuprofen,ibuprofen,NSAID,مسكن/مضاد التهاب,avoid,يزيد خطر التقرحات بعد جراحات السمنة,تجنب نهائيًا إن أمكن؛ استخدم باراسيتامول كبديل تحت إشراف طبي,tablet,,guideline/review,https://www.sps.nhs.uk/articles/considerations-for-using-medicines-following-bariatric-surgery/,2025-09-14,ممنوع في معظم الحالات بعد التكميم.
2,Omeprazole,omeprazole,PPI,حماية من القرحة/علاج الارتجاع,conditional,يُستخدم كوقاية بعد الجراحة لفترة معينة,عادة يُوصف لشهور بعد العملية,capsule,,guideline,https://pubmed.ncbi.nlm.nih.gov/,2025-09-14,المدة تختلف حسب تعليمات الجرّاح.
3,Paracetamol,acetaminophen,Analgesic,مسكن ألم,allowed,آمن كمسكن بعد التكميم,انتبه للجرعة القصوى اليومية,tablet/liquid,,guideline,https://www.ssmhealth.com/,2025-09-14,البديل المفضل للمسكنات بعد التكميم.
4,Ibuprofen,ibuprofen,NSAID,مسكن/مضاد التهاب,avoid,يزيد خطر التقرحات بعد جراحات السمنة,تجنب نهائيًا إن أمكن؛ استخدم باراسيتامول كبديل تحت إشراف طبي,tablet,,guideline/review,https://www.sps.nhs.uk/articles/considerations-for-using-medicines-following-bariatric-surgery/,2025-09-14,ممنوع في معظم الحالات بعد التكميم.
5,Omeprazole,omeprazole,PPI,حماية من القرحة/علاج الارتجاع,conditional,يُستخدم كوقاية بعد الجراحة لفترة معينة,عادة يُوصف لشهور بعد العملية,capsule,,guideline,https://pubmed.ncbi.nlm.nih.gov/,2025-09-14,المدة تختلف حسب تعليمات الجرّاح.
6,Paracetamol,acetaminophen,Analgesic,مسكن ألم,allowed,آمن كمسكن بعد التكميم,انتبه للجرعة القصوى اليومية,tablet/liquid,,guideline,https://www.ssmhealth.com/,2025-09-14,البديل المفضل للمسكنات بعد التكميم.
7,Ibuprofen,ibuprofen,NSAID,مسكن/مضاد التهاب,avoid,يزيد خطر التقرحات بعد جراحات السمنة,تجنب نهائيًا إن أمكن؛ استخدم باراسيتامول كبديل تحت إشراف طبي,tablet,,guideline/review,https://www.sps.nhs.uk/articles/considerations-for-using-medicines-following-bariatric-surgery/,2025-09-14,ممنوع في معظم الحالات بعد التكميم.
8,Omeprazole,omeprazole,PPI,حماية من القرحة/علاج الارتجاع,conditional,يُستخدم كوقاية بعد الجراحة لفترة معينة,عادة يُوصف لشهور بعد العملية,capsule,,guideline,https://pubmed.ncbi.nlm.nih.gov/,2025-09-14,المدة تختلف حسب تعليمات الجرّاح.
9,Paracetamol,acetaminophen,Analgesic,مسكن ألم,allowed,آمن كمسكن بعد التكميم,انتبه للجرعة القصوى اليومية,tablet/liquid,,guideline,https://www.ssmhealth.com/,2025-09-14,البديل المفضل للمسكنات بعد التكميم.
10,Ibuprofen,ibuprofen,NSAID,مسكن/مضاد التهاب,avoid,يزيد خطر التقرحات بعد جراحات السمنة,تجنب نهائيًا إن أمكن؛ استخدم باراسيتامول كبديل تحت إشراف طبي,tablet,,guideline/review,https://www.sps.nhs.uk/articles/considerations-for-using-medicines-following-bariatric-surgery/,2025-09-14,ممنوع في معظم الحالات بعد التكميم.
11,Omeprazole,omeprazole,PPI,حماية من القرحة/علاج الارتجاع,conditional,يُستخدم كوقاية بعد الجراحة لفترة معينة,عادة يُوصف لشهور بعد العملية,capsule,,guideline,https://pubmed.ncbi.nlm.nih.gov/,2025-09-14,المدة تختلف حسب تعليمات الجرّاح.
12,Paracetamol,acetaminophen,Analgesic,مسكن ألم,allowed,آمن كمسكن بعد التكميم,انتبه للجرعة القصوى اليومية,tablet/liquid,,guideline,https://www.ssmhealth.com/,2025-09-14,البديل المفضل للمسكنات بعد التكميم.
13,Ibuprofen,ibuprofen,NSAID,مسكن/مضاد التهاب,avoid,يزيد خطر التقرحات بعد جراحات السمنة,تجنب نهائيًا إن أمكن؛ استخدم باراسيتامول كبديل تحت إشراف طبي,tablet,,guideline/review,https://www.sps.nhs.uk/articles/considerations-for-using-medicines-following-bariatric-surgery/,2025-09-14,ممنوع في معظم الحالات بعد التكميم.
14,Omeprazole,omeprazole,PPI,حماية من القرحة/علاج الارتجاع,conditional,يُستخدم كوقاية بعد الجراحة لفترة معينة,عادة يُوصف لشهور بعد العملية,capsule,,guideline,https://pubmed.ncbi.nlm.nih.gov/,2025-09-14,المدة تختلف حسب تعليمات الجرّاح.
15,Paracetamol,acetaminophen,Analgesic,مسكن ألم,allowed,آمن كمسكن بعد التكميم,انتبه للجرعة القصوى اليومية,tablet/liquid,,guideline,https://www.ssmhealth.com/,2025-09-14,البديل المفضل للمسكنات بعد التكميم.
16,Ibuprofen,ibuprofen,NSAID,مسكن/مضاد التهاب,avoid,يزيد خطر التقرحات بعد جراحات السمنة,تجنب نهائيًا إن أمكن؛ استخدم باراسيتامول كبديل تحت إشراف طبي,tablet,,guideline/review,https://www.sps.nhs.uk/articles/considerations-for-using-medicines-following-bariatric-surgery/,2025-09-20,ممنوع في معظم الحالات بعد التكميم.
17,Omeprazole,omeprazole,PPI,حماية من القرحة/علاج الارتجاع,conditional,يُستخدم كوقاية بعد الجراحة لفترة معينة,عادة يُوصف لشهور بعد العملية,capsule,,guideline,https://pubmed.ncbi.nlm.nih.gov/,2025-09-20,المدة تختلف حسب تعليمات الجرّاح.
18,Paracetamol,acetaminophen,Analgesic,مسكن ألم,allowed,آمن كمسكن بعد التكميم,انتبه للجرعة القصوى اليومية,tablet/liquid,,guideline,https://www.ssmhealth.com/,2025-09-20,البديل المفضل للمسكنات بعد التكميم.
19,Ibuprofen,ibuprofen,NSAID,مسكن/مضاد التهاب,avoid,يزيد خطر التقرحات بعد جراحات السمنة,تجنب نهائيًا إن أمكن؛ استخدم باراسيتامول كبديل تحت إشراف طبي,tablet,,guideline/review,https://www.sps.nhs.uk/articles/considerations-for-using-medicines-following-bariatric-surgery/,2025-09-20,ممنوع في معظم الحالات بعد التكميم.
20,Omeprazole,omeprazole,PPI,حماية من القرحة/علاج الارتجاع,conditional,يُستخدم كوقاية بعد الجراحة لفترة معينة,عادة يُوصف لشهور بعد العملية,capsule,,guideline,https://pubmed.ncbi.nlm.nih.gov/,2025-09-20,المدة تختلف حسب تعليمات الجرّاح.
21,Paracetamol,acetaminophen,Analgesic,مسكن ألم,allowed,آمن كمسكن بعد التكميم,انتبه للجرعة القصوى اليومية,tablet/liquid,,guideline,https://www.ssmhealth.com/,2025-09-20,البديل المفضل للمسكنات بعد التكميم.
22,Ibuprofen,ibuprofen,NSAID,مسكن/مضاد التهاب,avoid,يزيد خطر التقرحات بعد جراحات السمنة,تجنب نهائيًا إن أمكن؛ استخدم باراسيتامول كبديل تحت إشراف طبي,tablet,,guideline/review,https://www.sps.nhs.uk/articles/considerations-for-using-medicines-following-bariatric-surgery/,2025-09-20,ممنوع في معظم الحالات بعد التكميم.
23,Omeprazole,omeprazole,PPI,حماية من القرحة/علاج الارتجاع,conditional,يُستخدم كوقاية بعد الجراحة لفترة معينة,عادة يُوصف لشهور بعد العملية,capsule,,guideline,https://pubmed.ncbi.nlm.nih.gov/,2025-09-20,المدة تختلف حسب تعليمات الجرّاح.
24,Paracetamol,acetaminophen,Analgesic,مسكن ألم,allowed,آمن كمسكن بعد التكميم,انتبه للجرعة القصوى اليومية,tablet/liquid,,guideline,https://www.ssmhealth.com/,2025-09-20,البديل المفضل للمسكنات بعد التكميم.
25,Ibuprofen,ibuprofen,NSAID,مسكن/مضاد التهاب,avoid,يزيد خطر التقرحات بعد جراحات السمنة,تجنب نهائيًا إن أمكن؛ استخدم باراسيتامول كبديل تحت إشراف طبي,tablet,,guideline/review,https://www.sps.nhs.uk/articles/considerations-for-using-medicines-following-bariatric-surgery/,2025-09-20,ممنوع في معظم الحالات بعد التكميم.
26,Omeprazole,omeprazole,PPI,حماية من القرحة/علاج الارتجاع,conditional,يُستخدم كوقاية بعد الجراحة لفترة معينة,عادة يُوصف لشهور بعد العملية,capsule,,guideline,https://pubmed.ncbi.nlm.nih.gov/,2025-09-20,المدة تختلف حسب تعليمات الجرّاح.
27,Paracetamol,acetaminophen,Analgesic,مسكن ألم,allowed,آمن كمسكن بعد التكميم,انتبه للجرعة القصوى اليومية,tablet/liquid,,guideline,https://www.ssmhealth.com/,2025-09-20,البديل المفضل للمسكنات بعد التكميم.
28,Ibuprofen,ibuprofen,NSAID,مسكن/مضاد التهاب,avoid,يزيد خطر التقرحات بعد جراحات السمنة,تجنب نهائيًا إن أمكن؛ استخدم باراسيتامول كبديل تحت إشراف طبي,tablet,,guideline/review,https://www.sps.nhs.uk/articles/considerations-for-using-medicines-following-bariatric-surgery/,2025-09-20,ممنوع في معظم الحالات بعد التكميم.
29,Omeprazole,omeprazole,PPI,حماية من القرحة/علاج الارتجاع,conditional,يُستخدم كوقاية بعد الجراحة لفترة معينة,عادة يُوصف لشهور بعد العملية,capsule,,guideline,https://pubmed.ncbi.nlm.nih.gov/,2025-09-20,المدة تختلف حسب تعليمات الجرّاح.
30,Paracetamol,acetaminophen,Analgesic,مسكن ألم,allowed,آمن كمسكن بعد التكميم,انتبه للجرعة القصوى اليومية,tablet/liquid,,guideline,https://www.ssmhealth.com/,2025-09-20,البديل المفضل للمسكنات بعد التكميم.
31,Ibuprofen,ibuprofen,NSAID,مسكن/مضاد التهاب,avoid,يزيد خطر التقرحات بعد جراحات السمنة,تجنب نهائيًا إن أمكن؛ استخدم باراسيتامول كبديل تحت إشراف طبي,tablet,,guideline/review,https://www.sps.nhs.uk/articles/considerations-for-using-medicines-following-bariatric-surgery/,2025-09-20,ممنوع في معظم الحالات بعد التكميم.
32,Omeprazole,omeprazole,PPI,حماية من القرحة/علاج الارتجاع,conditional,يُستخدم كوقاية بعد الجراحة لفترة معينة,عادة يُوصف لشهور بعد العملية,capsule,,guideline,https://pubmed.ncbi.nlm.nih.gov/,2025-09-20,المدة تختلف حسب تعليمات الجرّاح.
33,Paracetamol,acetaminophen,Analgesic,مسكن ألم,allowed,آمن كمسكن بعد التكميم,انتبه للجرعة القصوى اليومية,tablet/liquid,,guideline,https://www.ssmhealth.com/,2025-09-20,البديل المفضل للمسكنات بعد التكميم.
34,Ibuprofen,ibuprofen,NSAID,مسكن/مضاد التهاب,avoid,يزيد خطر التقرحات بعد جراحات السمنة,تجنب نهائيًا إن أمكن؛ استخدم باراسيتامول كبديل تحت إشراف طبي,tablet,,guideline/review,https://www.sps.nhs.uk/articles/considerations-for-using-medicines-following-bariatric-surgery/,2025-09-20,ممنوع في معظم الحالات بعد التكميم.
35,Omeprazole,omeprazole,PPI,حماية من القرحة/علاج الارتجاع,conditional,يُستخدم كوقاية بعد الجراحة لفترة معينة,عادة يُوصف لشهور بعد العملية,capsule,,guideline,https://pubmed.ncbi.nlm.nih.gov/,2025-09-20,المدة تختلف حسب تعليمات الجرّاح.
36,Paracetamol,acetaminophen,Analgesic,مسكن ألم,allowed,آمن كمسكن بعد التكميم,انتبه للجرعة القصوى اليومية,tablet/liquid,,guideline,https://www.ssmhealth.com/,2025-09-20,البديل المفضل للمسكنات بعد التكميم.
37,Ibuprofen,ibuprofen,NSAID,مسكن/مضاد التهاب,avoid,يزيد خطر التقرحات بعد جراحات السمنة,تجنب نهائيًا إن أمكن؛ استخدم باراسيتامول كبديل تحت إشراف طبي,tablet,,guideline/review,https://www.sps.nhs.uk/articles/considerations-for-using-medicines-following-bariatric-surgery/,2025-09-20,ممنوع في معظم الحالات بعد التكميم.
38,Omeprazole,omeprazole,PPI,حماية من القرحة/علاج الارتجاع,conditional,يُستخدم كوقاية بعد الجراحة لفترة معينة,عادة يُوصف لشهور بعد العملية,capsule,,guideline,https://pubmed.ncbi.nlm.nih.gov/,2025-09-20,المدة تختلف حسب تعليمات الجرّاح.
